tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,labeled_data
443,45202,501,0x0010,0
443,44158,501,0x0010,0
443,44150,501,0x0010,0
80,43654,501,0x0010,0
443,45196,501,0x0010,0
43654,80,506,0x0010,0
45202,443,964,0x0010,0
44158,443,956,0x0010,0
44150,443,958,0x0010,0
45196,443,964,0x0010,0
443,59654,501,0x0010,0
59654,443,501,0x0010,0
80,54226,501,0x0010,0
54226,80,261,0x0010,0
443,55436,501,0x0018,0
443,55436,501,0x0018,0
55436,443,425,0x0010,0
55436,443,425,0x0018,0
443,55436,501,0x0010,0
443,32822,501,0x0010,0
80,34542,501,0x0010,0
34542,80,133,0x0010,0
32822,443,14480,0x0010,0
80,43726,501,0x0010,0
80,41090,501,0x0010,0
80,43684,501,0x0010,0
80,45954,501,0x0010,0
80,34506,501,0x0010,0
80,43710,501,0x0010,0
43726,80,133,0x0010,0
34506,80,141,0x0010,0
43684,80,135,0x0010,0
43710,80,131,0x0010,0
45954,80,8,0x0010,0
41090,80,8,0x0010,0
80,39534,501,0x0010,0
443,51880,501,0x0010,0
80,39542,501,0x0010,0
80,39540,501,0x0010,0
39534,80,261,0x0010,0
39542,80,261,0x0010,0
39540,80,261,0x0010,0
51880,443,2048,0x0010,0
443,33918,501,0x0010,0
443,52216,501,0x0010,0
443,51888,501,0x0010,0
80,40968,501,0x0010,0
443,33930,501,0x0010,0
443,52206,501,0x0010,0
443,33936,501,0x0010,0
443,58154,501,0x0010,0
80,34518,501,0x0010,0
34518,80,139,0x0010,0
40968,80,8,0x0010,0
33918,443,936,0x0010,0
33936,443,960,0x0010,0
33930,443,960,0x0010,0
58154,443,14480,0x0010,0
52206,443,15708,0x0010,0
52216,443,15709,0x0010,0
51888,443,2048,0x0010,0
443,33910,501,0x0010,0
33910,443,884,0x0010,0
443,37476,501,0x0010,0
37476,443,5190,0x0010,0
80,48842,501,0x0010,0
80,48848,501,0x0010,0
48842,80,501,0x0010,0
48848,80,501,0x0010,0
80,43670,501,0x0010,0
80,43662,501,0x0010,0
43670,80,139,0x0010,0
43662,80,141,0x0010,0
443,41240,501,0x0010,0
443,60774,501,0x0010,0
443,41238,501,0x0010,0
41240,443,964,0x0010,0
41238,443,964,0x0010,0
60774,443,932,0x0010,0
443,34324,501,0x0010,0
34324,443,954,0x0010,0
443,55436,501,0x0018,0
55436,443,425,0x0018,0
55436,443,425,0x0018,0
443,55436,501,0x0010,0
443,55436,501,0x0010,0
443,45202,501,0x0010,0
443,44158,501,0x0010,0
443,44150,501,0x0010,0
80,43654,501,0x0010,0
443,45196,501,0x0010,0
43654,80,506,0x0010,0
45202,443,964,0x0010,0
44158,443,956,0x0010,0
44150,443,958,0x0010,0
45196,443,964,0x0010,0
443,55436,501,0x0018,0
443,55436,501,0x0018,0
55436,443,425,0x0010,0
55436,443,425,0x0018,0
443,55436,501,0x0010,0
443,59654,501,0x0010,0
59654,443,501,0x0010,0
443,37476,501,0x0018,0
443,37476,501,0x0018,0
37476,443,5190,0x0010,0
37476,443,5190,0x0018,0
443,37476,501,0x0010,0
443,51470,501,0x0010,0
