ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
20.189.173.13,192.168.4.133,443,48440,501,0x0018
192.168.4.133,20.189.173.13,48440,443,16386,0x0010
192.168.4.1,192.168.4.133,110,56668,1024,0x0002
192.168.4.133,192.168.4.1,56668,110,0,0x0014
192.168.4.113,192.168.4.133,110,56668,1024,0x0002
192.168.4.21,192.168.4.133,110,56668,1024,0x0002
192.168.4.133,192.168.4.113,56668,110,0,0x0014
192.168.4.20,192.168.4.133,110,56668,1024,0x0002
192.168.4.20,192.168.4.133,5900,56668,1024,0x0002
192.168.4.133,192.168.4.21,56668,110,0,0x0014
192.168.4.29,192.168.4.133,110,56668,1024,0x0002
192.168.4.113,192.168.4.133,5900,56668,1024,0x0002
192.168.4.1,192.168.4.133,5900,56668,1024,0x0002
192.168.4.20,192.168.4.133,8080,56668,1024,0x0002
192.168.4.21,192.168.4.133,5900,56668,1024,0x0002
192.168.4.111,192.168.4.133,110,56668,1024,0x0002
192.168.4.133,192.168.4.20,56668,5900,0,0x0014
192.168.4.133,192.168.4.20,56668,110,0,0x0014
192.168.4.133,192.168.4.1,56668,5900,0,0x0014
192.168.4.111,192.168.4.133,5900,56668,1024,0x0002
192.168.4.133,192.168.4.113,56668,5900,0,0x0014
192.168.4.113,192.168.4.133,8080,56668,1024,0x0002
192.168.4.1,192.168.4.133,8080,56668,1024,0x0002
192.168.4.20,192.168.4.133,25,56668,1024,0x0002
192.168.4.133,192.168.4.1,56668,8080,0,0x0014
192.168.4.133,192.168.4.29,56668,110,0,0x0014
192.168.4.133,192.168.4.21,56668,5900,0,0x0014
192.168.4.133,192.168.4.113,56668,8080,0,0x0014
192.168.4.133,192.168.4.20,56668,8080,0,0x0014
192.168.4.133,192.168.4.20,56668,25,0,0x0014
192.168.4.113,192.168.4.133,25,56668,1024,0x0002
192.168.4.1,192.168.4.133,25,56668,1024,0x0002
192.168.4.20,192.168.4.133,111,56668,1024,0x0002
192.168.4.21,192.168.4.133,8080,56668,1024,0x0002
192.168.4.29,192.168.4.133,5900,56668,1024,0x0002
192.168.4.111,192.168.4.133,8080,56668,1024,0x0002
192.168.4.113,192.168.4.133,111,56668,1024,0x0002
192.168.4.1,192.168.4.133,111,56668,1024,0x0002
192.168.4.20,192.168.4.133,995,56668,1024,0x0002
