ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
52.182.141.63,192.168.4.133,443,38906,501,0x0018
52.182.141.63,192.168.4.133,443,38906,501,0x0010
52.182.141.63,192.168.4.133,443,38906,501,0x0018
52.182.141.63,192.168.4.133,443,38906,501,0x0010
52.182.141.63,192.168.4.133,443,38906,501,0x0018
52.182.141.63,192.168.4.133,443,38906,501,0x0010
52.182.141.63,192.168.4.133,443,38906,501,0x0018
52.182.141.63,192.168.4.133,443,38906,501,0x0018
192.168.4.133,52.182.141.63,38906,443,16386,0x0010
192.168.4.133,52.182.141.63,38906,443,16380,0x0010
192.168.4.133,52.182.141.63,38906,443,16386,0x0010
192.168.4.133,52.182.141.63,38906,443,16386,0x0010
192.168.4.133,52.182.141.63,38906,443,16386,0x0018
52.182.141.63,192.168.4.133,443,38906,501,0x0010
52.182.141.63,192.168.4.133,443,38906,501,0x0018
192.168.4.133,52.182.141.63,38906,443,16386,0x0010
13.89.179.8,192.168.4.133,443,53932,64240,0x0002
192.168.4.133,13.89.179.8,53932,443,65535,0x0012
13.89.179.8,192.168.4.133,443,53932,502,0x0010
13.89.179.8,192.168.4.133,443,53932,502,0x0018
192.168.4.133,13.89.179.8,53932,443,16384,0x0018
13.89.179.8,192.168.4.133,443,53932,502,0x0010
13.89.179.8,192.168.4.133,443,53932,502,0x0018
192.168.4.133,13.89.179.8,53932,443,16382,0x0018
13.89.179.8,192.168.4.133,443,53932,501,0x0010
13.89.179.8,192.168.4.133,443,53932,501,0x0010
13.89.179.8,192.168.4.133,443,53932,501,0x0018
13.89.179.8,192.168.4.133,443,53932,501,0x0010
13.89.179.8,192.168.4.133,443,53932,501,0x0018
13.89.179.8,192.168.4.133,443,53932,501,0x0010
13.89.179.8,192.168.4.133,443,53932,501,0x0018
13.89.179.8,192.168.4.133,443,53932,501,0x0018
192.168.4.133,13.89.179.8,53932,443,16386,0x0010
192.168.4.133,13.89.179.8,53932,443,16386,0x0018
192.168.4.133,13.89.179.8,53932,443,16386,0x0010
192.168.4.133,13.89.179.8,53932,443,16380,0x0010
192.168.4.133,13.89.179.8,53932,443,16386,0x0010
192.168.4.133,13.89.179.8,53932,443,16386,0x0019
13.89.179.8,192.168.4.133,443,53932,501,0x0010
13.89.179.8,192.168.4.133,443,53932,501,0x0018
13.89.179.8,192.168.4.133,443,53932,501,0x0011
192.168.4.133,13.89.179.8,53932,443,16386,0x0010
208.80.153.224,192.168.4.133,443,37810,501,0x0018
142.251.33.170,192.168.4.133,443,34938,64240,0x0002
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0010
208.80.153.224,192.168.4.133,443,37810,488,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,142.251.33.170,34938,443,65535,0x0012
142.251.33.170,192.168.4.133,443,34938,502,0x0010
142.251.33.170,192.168.4.133,443,34938,502,0x0018
142.251.33.170,192.168.4.133,443,34938,502,0x0018
142.251.33.170,192.168.4.133,443,34938,502,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,142.251.33.170,34938,443,262,0x0010
192.168.4.133,142.251.33.170,34938,443,262,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0010
192.168.4.133,142.251.33.170,34938,443,255,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,496,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0018
192.168.4.133,142.251.33.170,34938,443,267,0x0018
192.168.4.133,142.251.33.170,34938,443,267,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
142.251.33.170,192.168.4.133,443,34938,501,0x0010
142.251.33.170,192.168.4.133,443,34938,501,0x0010
208.80.153.224,192.168.4.133,443,37810,546,0x0010
142.251.33.170,192.168.4.133,443,34938,501,0x0010
142.251.33.170,192.168.4.133,443,34938,501,0x0018
142.251.33.170,192.168.4.133,443,34938,501,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,592,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,637,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,682,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,727,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0018
192.168.4.133,142.251.33.170,34938,443,267,0x0018
192.168.4.133,142.251.33.170,34938,443,267,0x0018
192.168.4.133,142.251.33.170,34938,443,267,0x0018
142.251.33.170,192.168.4.133,443,34938,501,0x0018
142.251.33.170,192.168.4.133,443,34938,501,0x0018
142.251.33.170,192.168.4.133,443,34938,501,0x0011
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,773,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,818,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,863,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,908,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,142.251.33.170,34938,443,267,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0010
192.168.4.133,142.251.33.170,34938,443,267,0x0011
142.251.33.170,192.168.4.133,443,34938,501,0x0010
208.80.153.224,192.168.4.133,443,37810,931,0x0010
208.80.153.240,192.168.4.133,443,37080,64240,0x0002
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
208.80.153.224,192.168.4.133,443,37810,931,0x0018
192.168.4.133,208.80.153.240,37080,443,43440,0x0012
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.240,192.168.4.133,443,37080,502,0x0010
208.80.153.224,192.168.4.133,443,37810,954,0x0018
208.80.153.240,192.168.4.133,443,37080,502,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,999,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1044,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1089,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1135,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1180,0x0010
208.80.153.224,192.168.4.133,443,37810,1180,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0010
208.80.153.224,192.168.4.133,443,37810,1225,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1270,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1316,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1361,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1406,0x0010
192.168.4.133,208.80.153.240,37080,443,84,0x0010
192.168.4.133,208.80.153.240,37080,443,84,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.240,192.168.4.133,443,37080,501,0x0010
208.80.153.224,192.168.4.133,443,37810,1451,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1497,0x0010
208.80.153.240,192.168.4.133,443,37080,501,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1542,0x0010
208.80.153.240,192.168.4.133,443,37080,501,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1587,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1632,0x0010
208.80.153.224,192.168.4.133,443,37810,1678,0x0010
208.80.153.224,192.168.4.133,443,37810,1723,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1768,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1813,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1859,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1904,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1915,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
208.80.153.224,192.168.4.133,443,37810,1931,0x0010
192.168.4.133,208.80.153.224,37810,443,83,0x0018
